# triangle index [dimensionless] k1_mean [h Mpc^-1] k2_mean [h Mpc^-1] k3_mean [h Mpc^-1] k1_min [h Mpc^-1] k1_max [h Mpc^-1] k2_min [h Mpc^-1] k2_max [h Mpc^-1] k3_min [h Mpc^-1] k3_max [h Mpc^-1] B_bin [h^-6 Mpc^6] N_modes
0 1.961182e-02 1.961182e-02 1.961182e-02 7.853981e-03 2.356194e-02 7.853981e-03 2.356194e-02 7.853981e-03 2.356194e-02 6.685517e+07 1.200000e+02
1 3.322552e-02 2.019517e-02 2.019517e-02 2.356194e-02 3.926991e-02 7.853981e-03 2.356194e-02 7.853981e-03 2.356194e-02 2.476933e+08 1.740000e+02
2 3.454234e-02 3.454234e-02 1.947486e-02 2.356194e-02 3.926991e-02 2.356194e-02 3.926991e-02 7.853981e-03 2.356194e-02 1.391122e+08 4.560000e+02
3 3.471878e-02 3.471878e-02 3.471878e-02 2.356194e-02 3.926991e-02 2.356194e-02 3.926991e-02 2.356194e-02 3.926991e-02 -6.549071e+06 9.120000e+02
4 4.442884e-02 2.221442e-02 2.221442e-02 3.926991e-02 5.497787e-02 7.853981e-03 2.356194e-02 7.853981e-03 2.356194e-02 -2.668152e+08 1.200000e+01
5 4.853385e-02 3.595116e-02 2.023419e-02 3.926991e-02 5.497787e-02 2.356194e-02 3.926991e-02 7.853981e-03 2.356194e-02 1.014885e+08 4.140000e+02
6 4.912627e-02 3.458019e-02 3.458019e-02 3.926991e-02 5.497787e-02 2.356194e-02 3.926991e-02 2.356194e-02 3.926991e-02 -1.152558e+08 9.440000e+02
7 4.903579e-02 4.903579e-02 1.925694e-02 3.926991e-02 5.497787e-02 3.926991e-02 5.497787e-02 7.853981e-03 2.356194e-02 -4.867040e+07 5.280000e+02
8 4.890253e-02 4.890253e-02 3.426833e-02 3.926991e-02 5.497787e-02 3.926991e-02 5.497787e-02 2.356194e-02 3.926991e-02 4.459231e+07 1.152000e+03
9 4.928608e-02 4.928608e-02 4.928608e-02 3.926991e-02 5.497787e-02 3.926991e-02 5.497787e-02 3.926991e-02 5.497787e-02 4.545226e+07 1.200000e+03
10 5.806117e-02 3.735902e-02 2.221442e-02 5.497787e-02 7.068583e-02 2.356194e-02 3.926991e-02 7.853981e-03 2.356194e-02 1.180012e+08 7.200000e+01
11 6.223822e-02 3.545683e-02 3.545683e-02 5.497787e-02 7.068583e-02 2.356194e-02 3.926991e-02 2.356194e-02 3.926991e-02 1.488902e+07 1.302000e+03
12 6.166461e-02 4.948545e-02 2.025718e-02 5.497787e-02 7.068583e-02 3.926991e-02 5.497787e-02 7.853981e-03 2.356194e-02 7.555327e+07 7.380000e+02
13 6.363765e-02 4.916499e-02 3.469061e-02 5.497787e-02 7.068583e-02 3.926991e-02 5.497787e-02 2.356194e-02 3.926991e-02 1.884922e+07 1.824000e+03
14 6.346551e-02 4.906680e-02 4.906680e-02 5.497787e-02 7.068583e-02 3.926991e-02 5.497787e-02 3.926991e-02 5.497787e-02 -1.721558e+07 2.088000e+03
15 6.356655e-02 6.356655e-02 1.961182e-02 5.497787e-02 7.068583e-02 5.497787e-02 7.068583e-02 7.853981e-03 2.356194e-02 3.067519e+07 1.560000e+03
16 6.340065e-02 6.340065e-02 3.455014e-02 5.497787e-02 7.068583e-02 5.497787e-02 7.068583e-02 2.356194e-02 3.926991e-02 4.081905e+07 2.976000e+03
17 6.359291e-02 6.359291e-02 4.897236e-02 5.497787e-02 7.068583e-02 5.497787e-02 7.068583e-02 3.926991e-02 5.497787e-02 3.147594e+07 3.312000e+03
18 6.330184e-02 6.330184e-02 6.330184e-02 5.497787e-02 7.068583e-02 5.497787e-02 7.068583e-02 5.497787e-02 7.068583e-02 1.550879e+07 5.688000e+03
19 7.317692e-02 3.751866e-02 3.751866e-02 7.068583e-02 8.639379e-02 2.356194e-02 3.926991e-02 2.356194e-02 3.926991e-02 2.490789e+08 1.680000e+02
20 7.254758e-02 5.286960e-02 2.221442e-02 7.068583e-02 8.639379e-02 3.926991e-02 5.497787e-02 7.853981e-03 2.356194e-02 5.253628e+07 7.200000e+01
21 7.828688e-02 4.964106e-02 3.588208e-02 7.068583e-02 8.639379e-02 3.926991e-02 5.497787e-02 2.356194e-02 3.926991e-02 5.235889e+07 1.694000e+03
22 7.984461e-02 4.891329e-02 4.891329e-02 7.068583e-02 8.639379e-02 3.926991e-02 5.497787e-02 3.926991e-02 5.497787e-02 -9.845261e+06 2.640000e+03
23 7.811978e-02 6.527389e-02 2.021910e-02 7.068583e-02 8.639379e-02 5.497787e-02 7.068583e-02 7.853981e-03 2.356194e-02 -1.118055e+06 1.350000e+03
24 7.966369e-02 6.353269e-02 3.470139e-02 7.068583e-02 8.639379e-02 5.497787e-02 7.068583e-02 2.356194e-02 3.926991e-02 2.899850e+07 4.008000e+03
25 7.991552e-02 6.333564e-02 4.910953e-02 7.068583e-02 8.639379e-02 5.497787e-02 7.068583e-02 3.926991e-02 5.497787e-02 1.688546e+07 4.536000e+03
26 7.964139e-02 6.344378e-02 6.344378e-02 7.068583e-02 8.639379e-02 5.497787e-02 7.068583e-02 5.497787e-02 7.068583e-02 2.106423e+07 7.296000e+03
